470	2
50	61
130	38
70	63
40	45
60	86
80	77
0	4
190	14
310	4
300	4
210	7
170	22
160	22
1250	3
90	75
110	55
1090	1
260	5
100	54
2840	1
180	9
120	41
140	31
330	5
370	4
30	14
150	25
720	1
980	1
380	3
200	12
1440	1
430	3
270	7
350	2
740	1
1240	1
860	2
390	1
10	7
220	7
250	9
590	1
1140	2
1590	1
340	5
1680	2
760	1
460	1
780	2
1390	1
290	2
320	4
20	2
890	1
360	1
230	7
2060	1
240	1
730	1
1790	1
520	2
830	1
1860	1
2180	1
1520	1
1480	1
1920	1
1580	1
280	1
530	1
1350	1
1560	1
440	1
1500	1
1810	1
400	1
1260	1
7140	1
1170	1
2090	1
500	1
1610	1
490	1
1950	1
1030	1
2080	1
1740	1
1300	1
1890	1
